export_id,inventory_baseline_sha,export_schema_version,metadata_evidence_id,surface_id,metadata_field,implementation_present_count,implementation_absent_count,implementation_unknown_count,implementation_not_applicable_count,implementation_values_json,implementation_formats_json,implementation_present_paths_json,contract_present_count,contract_absent_count,contract_unknown_count,contract_not_applicable_count,contract_values_json,contract_formats_json,contract_present_paths_json,known_disagreement_json
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:35cfa133e41448fe425a,component:resources:views:components:ui:button:fixture001,verification_commit,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:535c8b33846c010cc2dd,component:resources:views:components:ui:button:fixture001,verification_timestamp,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:9ff0e29844a46bb637f9,component_family:resources:views:components:ui:modal:fixture002,blade_alias,1,0,0,0,"[""x-ui.modal"",""x-ui.modal.body""]","[""array""]","[""resources/views/components/ui/modal/index.blade.php""]",1,0,0,0,"[""x-ui.modal"",""x-ui.modal.body""]","[""array""]","[""resources/views/components/ui/modal/contract.php""]","{""contract_values"":[""x-ui.legacy""],""field"":""blade_alias"",""implementation_values"":[""x-ui.modal"",""x-ui.modal.body""]}"
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:3e508de61ef770536288,component_family:resources:views:components:ui:modal:fixture002,contract_hash,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:8eed9c64828611b73e51,component_family:resources:views:components:ui:modal:fixture002,contract_path_reference,1,0,0,0,"[""resources/views/components/ui/modal/contract.php""]","[""repository_path""]","[""resources/views/components/ui/modal/index.blade.php""]",1,0,0,0,"[""resources/views/components/ui/modal/contract.php""]","[""repository_path""]","[""resources/views/components/ui/modal/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:80ba3f79c93427b54d29,component_family:resources:views:components:ui:modal:fixture002,contract_schema_version,0,0,0,1,[],[],[],1,0,0,0,"[""2""]","[""integer""]","[""resources/views/components/ui/modal/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:ee0d61029516bdab3683,component_family:resources:views:components:ui:modal:fixture002,human_readable_header,1,0,0,0,"[""present""]","[""comment_header""]","[""resources/views/components/ui/modal/index.blade.php""]",1,0,0,0,"[""present""]","[""comment_header""]","[""resources/views/components/ui/modal/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:24a359bbff89e44c1fca,component_family:resources:views:components:ui:modal:fixture002,implementation_path_reference,1,0,0,0,"[""resources/views/components/ui/modal/index.blade.php""]","[""repository_path""]","[""resources/views/components/ui/modal/index.blade.php""]",1,0,0,0,"[""resources/views/components/ui/modal/index.blade.php""]","[""repository_path""]","[""resources/views/components/ui/modal/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:bd6c91f6352e64cdf90a,component_family:resources:views:components:ui:modal:fixture002,last_updated,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:3b7174ce7fadfd7f8f7c,component_family:resources:views:components:ui:modal:fixture002,public_api_version,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:d5f63f8c46bd971c60df,component_family:resources:views:components:ui:modal:fixture002,source_hash,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:4c41d01eb7938a843880,component_family:resources:views:components:ui:modal:fixture002,ui_key,1,0,0,0,"[""ui.component.modal""]","[""string""]","[""resources/views/components/ui/modal/index.blade.php""]",1,0,0,0,"[""ui.component.modal""]","[""string""]","[""resources/views/components/ui/modal/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:7d7ded3339ef7ee1f977,component_family:resources:views:components:ui:modal:fixture002,verification_commit,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:65ba04e34fde47d6c5a6,component_family:resources:views:components:ui:modal:fixture002,verification_timestamp,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:48716ec1a7b374c6213c,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,blade_alias,0,0,0,1,[],[],[],0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:f48aeab90f96b3e5b2c5,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,contract_hash,0,1,0,0,[],[],[],0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:9ac32e95c1249350e7ac,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,contract_path_reference,0,0,0,1,[],[],[],0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:efd181c711e1545b5ff3,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,contract_schema_version,0,0,0,1,[],[],[],0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:388a2a79bc68454a585b,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,human_readable_header,1,0,0,0,"[""present""]","[""comment_header""]","[""resources/views/platform/dashboard/index.blade.php""]",0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:6212fbb8fae9af65ff69,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,implementation_path_reference,1,0,0,0,"[""resources/views/platform/dashboard/index.blade.php""]","[""repository_path""]","[""resources/views/platform/dashboard/index.blade.php""]",0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:2c2f34f8b303a2a58a96,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,last_updated,0,1,0,0,[],[],[],0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:06d11e48647f73a1d97d,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,public_api_version,0,1,0,0,[],[],[],0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:854bf7c8ae15de9dab0e,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,source_hash,0,1,0,0,[],[],[],0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:d12af585bf6dff491de3,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,ui_key,0,0,1,0,[],[],[],0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:6aae12fa95bcbdcb01af,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,verification_commit,0,1,0,0,[],[],[],0,0,0,1,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:31505e80e6051cbf0309,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,verification_timestamp,0,1,0,0,[],[],[],0,0,0,1,[],[],[],null
