export_id,inventory_baseline_sha,export_schema_version,source_reference_id,subject_type,subject_id,evidence_kind,evidence_value,path,line_start,line_end,existence_state,source_blob_oid,source_sha256
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:259fcf42f0c716b5e870,surface,component_family:resources:views:components:ui:modal:fixture002,path,docs/02-standards/ui/contract-file.md,docs/02-standards/ui/contract-file.md,,,unknown,,
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:22e90bd5b5196f02194e,surface,component_family:resources:views:components:ui:modal:fixture002,path,resources/views/components/ui/modal/contract.php,resources/views/components/ui/modal/contract.php,,,present,c0ccac318b80ab09ae4be03ff04a5458e7053af8,8b2ce5512984b3ad3fbd2ce8fc07b5fdff7001061b0003dfea1a3aeb7dce5049
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:55d20282a68d228c3756,surface,component_family:resources:views:components:ui:modal:fixture002,path,resources/views/components/ui/modal/index.blade.php,resources/views/components/ui/modal/index.blade.php,,,present,50c5d4268f3f490ac62af1855345b4496f0e2aa1,675dc851bb830a53508d326904970f7b99273b58af05d5dc68530b2c44ad977b
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:d90a53f4f86de7b6b723,surface,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,issue,route-list,,,,not_applicable,,
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:8b23a382a9aa8675f0cb,surface,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,observation,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,,,,not_applicable,,
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:b126ff97c438a6328acc,surface,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,path,resources/views/platform/dashboard/index.blade.php,resources/views/platform/dashboard/index.blade.php,,,present,4d543d76179e6b9255863b340bafb0411ab1775a,2e16b116c350c56e9724d7b33c837a46533de6bb9fb28485113bf79700b8b130
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:72cc51123451643ce4a5,test_trace,trace:fixture000000000001,path,resources/views/components/ui/button/__tests__/ButtonInteraction.spec.js,resources/views/components/ui/button/__tests__/ButtonInteraction.spec.js,,,present,6fa8a127382357612ae9d349de035cd579637b89,c49fcb928de9f9c675ae0e2db6fd822265e7d27beefbbc80892c994ce4b04675
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:e2697fc0667fdce1f464,test_trace,trace:fixture000000000001,path,resources/views/components/ui/button/index.blade.php,resources/views/components/ui/button/index.blade.php,,,present,cb0aba071e08c608f4afb24203a8f761f434b763,466a52a7cd6f03ce19808ae3d334d93e530a70dc11dd91e8afd7b9e2e41ea9f8
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:40edfd66d31d10eeef2a,test_trace,trace:fixture000000000002,path,resources/views/components/ui/modal/__tests__/ModalInteraction.spec.js,resources/views/components/ui/modal/__tests__/ModalInteraction.spec.js,,,present,d69c72e43179612df0502b400dacf6dc425c68fd,73b57e44762c98033afd05ebb0c29cef3f17ffd5c208fdf5d242111368c35885
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:28d8094fb960f5414e57,test_trace,trace:fixture000000000003,path,resources/views/platform/dashboard/index.blade.php,resources/views/platform/dashboard/index.blade.php,,,present,4d543d76179e6b9255863b340bafb0411ab1775a,2e16b116c350c56e9724d7b33c837a46533de6bb9fb28485113bf79700b8b130
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:727923f0b8a53474b419,test_trace,trace:fixture000000000003,path,tests/Feature/DashboardViewTest.php,tests/Feature/DashboardViewTest.php,,,present,568dd54d621206b0763b641689e0a0bbeeadd66a,35611d3510d2afcb52a593238dec1879054e28f2d85f8beb1204e1ea8d6a7b2b
